"","method","ranking.accuracy","class.accuracy","log.likelihood","train.recs","nrecs"
"184","Boosted classification trees (1000 trees)",0.674418604651163,0.669251517194875,-1856.76776913359,6956,10000
"185","Uniform",0,0.376518218623482,-2054.48824317968,6956,10000
"186","Marginal",0,0.623481781376518,-1963.35465720643,6956,10000
"187","Random",0.5,0.504048582995951,-2998.24348142283,6956,10000
"188","Logistic",0.678125,0.656882591093117,-2123.1554462369,6956,10000
"189","Decision tree",0.3203125,0.657219973009447,-1909.98753363291,6956,10000
"190","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.646875,0.672739541160594,-1788.74226523338,6956,10000
"191","Random forest",0.659375,0.675775978407557,-1816.27427208725,6956,10000
"192","Boosted classification trees (1000 trees)",0.6578125,0.65114709851552,-1862.92894984845,6956,10000
"193","Uniform",0,0.617765814266487,-2060.03342062416,6962,10000
"194","Marginal",0,0.617765814266487,-1978.18556035467,6962,10000
"195","Random",0.485507246376812,0.502018842530283,-2961.47458826713,6962,10000
"196","Logistic",0.678260869565217,0.674966352624495,-2361.32713758358,6962,10000
"197","Decision tree",0.542028985507246,0.671601615074024,-1876.81775330732,6962,10000
"198","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.678260869565217,0.678331090174966,-1784.78427911051,6962,10000
"199","Random forest",0.681159420289855,0.688088829071332,-1781.67126448087,6962,10000
"200","Boosted classification trees (1000 trees)",0.671014492753623,0.661170928667564,-1863.32348354115,6962,10000
"201","Uniform",0,0.618102288021534,-2060.03342062416,6966,10000
"202","Marginal",0,0.618102288021534,-1976.34208742363,6966,10000
"203","Random",0.528951486697966,0.50471063257066,-2952.74592969331,6966,10000
"204","Logistic",0.748043818466354,0.674629878869448,-2275.61540945758,6966,10000
"205","Decision tree",0.384976525821596,0.671938088829071,-1856.77197815106,6966,10000
"206","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.746478873239437,0.696164199192463,-1736.13623829078,6966,10000
"207","Random forest",0.719874804381847,0.684724091520861,-1761.9126314638,6966,10000
"208","Boosted classification trees (1000 trees)",0.730829420970266,0.654777927321669,-1857.17699737403,6966,10000
"209","Uniform",0,0.618359112306658,-2061.41971498528,6950,10000
"210","Marginal",0,0.618359112306658,-1978.00048947785,6950,10000
"211","Random",0.484602917341977,0.481842636180229,-3055.69938040586,6950,10000
"212","Logistic",0.726094003241491,0.660053799596503,-2186.75844393296,6950,10000
"213","Decision tree",0.53160453808752,0.673167451244116,-1868.96034952862,6950,10000
"214","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.73419773095624,0.671486213853396,-1795.42696953532,6950,10000
"215","Random forest",0.711507293354943,0.674512441156691,-1832.84226242565,6950,10000
"216","Boosted classification trees (1000 trees)",0.717990275526742,0.652320107599193,-1868.83212328887,6950,10000
"217","Uniform",0,0.604588394062078,-2054.48824317968,6954,10000
"218","Marginal",0,0.604588394062078,-1991.55160271388,6954,10000
"219","Random",0.545886075949367,0.510458839406208,-2933.202694502,6954,10000
"220","Logistic",0.704113924050633,0.672402159244264,-2052.19094735597,6954,10000
"221","Decision tree",0.568037974683544,0.665654520917679,-1895.30026001262,6954,10000
"222","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.708860759493671,0.687584345479082,-1753.52621431546,6954,10000
"223","Random forest",0.713607594936709,0.676450742240216,-1781.54839515174,6954,10000
"224","Boosted classification trees (1000 trees)",0.70253164556962,0.659581646423752,-1854.72597502453,6954,10000
"225","Uniform",0,0.369891008174387,-1017.540061062,3430,5000
"226","Marginal",0,0.630108991825613,-968.190876665976,3430,5000
"227","Random",0.515358361774744,0.521117166212534,-1396.56138298176,3430,5000
"228","Logistic",0.716723549488055,0.643051771117166,-1229.38919390571,3430,5000
"229","Decision tree",0.331058020477816,0.63283378746594,-998.065906115791,3430,5000
"230","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.720136518771331,0.668256130790191,-896.739902373185,3430,5000
"231","Random forest",0.703071672354949,0.668256130790191,-910.593032758228,3430,5000
"232","Boosted classification trees (999 trees)",0.692832764505119,0.645776566757493,-927.269387782461,3430,5000
"233","Uniform",0,0.6078697421981,-1021.69894414536,3440,5000
"234","Marginal",0,0.6078697421981,-987.756381145484,3440,5000
"235","Random",0.484276729559748,0.485753052917232,-1547.11847386501,3440,5000
"236","Logistic",0.682389937106918,0.650610583446404,-1365.64115752492,3440,5000
"237","Decision tree",0.361635220125786,0.635006784260516,-1014.770104905,3440,5000
"238","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.676100628930818,0.669606512890095,-890.533658247869,3440,5000
"239","Random forest",0.650943396226415,0.669606512890095,-902.13870816043,3440,5000
"240","Boosted classification trees (1000 trees)",0.676100628930818,0.630936227951153,-939.684655862843,3440,5000
"241","Uniform",0,0.62293956043956,-1009.22229489528,3436,5000
"242","Marginal",0,0.62293956043956,-964.75874086862,3436,5000
"243","Random",0.520376175548589,0.497252747252747,-1440.56899442826,3436,5000
"244","Logistic",0.752351097178683,0.679945054945055,-1106.6028305706,3436,5000
"245","Decision tree",0.445141065830721,0.675137362637363,-952.123297833704,3436,5000
"246","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.774294670846395,0.709478021978022,-829.822181771357,3436,5000
"247","Random forest",0.761755485893417,0.706043956043956,-849.83728108968,3436,5000
"248","Boosted classification trees (999 trees)",0.758620689655172,0.667582417582418,-906.946180881471,3436,5000
"249","Uniform",0,0.375866851595007,-999.518234367441,3438,5000
"250","Marginal",0,0.624133148404993,-954.679138313905,3438,5000
"251","Random",0.541958041958042,0.523578363384189,-1369.21677665643,3438,5000
"252","Logistic",0.713286713286713,0.662274618585298,-1738.21978217648,3438,5000
"253","Decision tree",0.311188811188811,0.639389736477115,-954.845479300846,3438,5000
"254","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.699300699300699,0.687933425797503,-872.719494418346,3438,5000
"255","Random forest",0.681818181818182,0.678918169209431,-872.206353206543,3438,5000
"256","Boosted classification trees (1000 trees)",0.692307692307692,0.651178918169209,-907.778182618177,3438,5000
"257","Uniform",0,0.390260631001372,-1010.6085892564,3440,5000
"258","Marginal",0,0.609739368998628,-975.981334124338,3440,5000
"259","Random",0.482758620689655,0.515775034293553,-1458.86792439163,3440,5000
"260","Logistic",0.702194357366771,0.646776406035665,-1321.04991863838,3440,5000
"261","Decision tree",0.426332288401254,0.627572016460905,-1030.56066271913,3440,5000
"262","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.70846394984326,0.670096021947874,-869.474867219439,3440,5000
"263","Random forest",0.695924764890282,0.685185185185185,-890.494992376726,3440,5000
"264","Boosted classification trees (1000 trees)",0.692789968652038,0.647462277091907,-922.650917253836,3440,5000
"265","Uniform",0,0.614145658263305,-989.814173839602,3428,5000
"266","Marginal",0,0.614145658263305,-952.28266860314,3428,5000
"267","Random",0.495114006514658,0.522408963585434,-1411.00695379827,3428,5000
"268","Logistic",0.775244299674267,0.658963585434174,-1356.33916074477,3428,5000
"269","Decision tree",0.469055374592834,0.643557422969188,-949.293349281975,3428,5000
"270","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.758957654723127,0.694677871148459,-840.333300111765,3428,5000
"271","Random forest",0.739413680781759,0.681372549019608,-859.963361236562,3428,5000
"272","Boosted classification trees (999 trees)",0.762214983713355,0.651960784313726,-902.220570586668,3428,5000
"273","Uniform",0,0.61373092926491,-999.518234367441,3438,5000
"274","Marginal",0,0.61373092926491,-961.902437876055,3438,5000
"275","Random",0.501597444089457,0.504854368932039,-1444.32897555074,3438,5000
"276","Logistic",0.731629392971246,0.657420249653259,-1348.0205762297,3438,5000
"277","Decision tree",0.402555910543131,0.624826629680999,-1003.27327230273,3438,5000
"278","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.722044728434505,0.687239944521498,-855.21764881403,3438,5000
"279","Random forest",0.718849840255591,0.694174757281553,-866.632171943004,3438,5000
"280","Boosted classification trees (1000 trees)",0.699680511182109,0.64493758668516,-917.212304590646,3438,5000
"281","Uniform",0,0.595303867403315,-1003.6771174508,3428,5000
"282","Marginal",0,0.595303867403315,-978.029718814196,3428,5000
"283","Random",0.515432098765432,0.508977900552486,-1442.1950405706,3428,5000
"284","Logistic",0.712962962962963,0.653314917127072,-1258.92290320551,3428,5000
"285","Decision tree",0.493827160493827,0.634668508287293,-983.587758061526,3428,5000
"286","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.722222222222222,0.679558011049724,-881.511235988877,3428,5000
"287","Random forest",0.691358024691358,0.676795580110497,-892.036974853863,3428,5000
"288","Boosted classification trees (1000 trees)",0.694444444444444,0.635359116022099,-920.259303404812,3428,5000
"289","Uniform",0,0.621067031463748,-1013.38117797864,3430,5000
"290","Marginal",0,0.621067031463748,-970.148059419018,3430,5000
"291","Random",0.5,0.500683994528044,-1459.27386846935,3430,5000
"292","Logistic",0.754777070063694,0.6593707250342,-1260.80111546696,3430,5000
"293","Decision tree",0.477707006369427,0.661422708618331,-1000.22894082744,3430,5000
"294","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.751592356687898,0.682626538987688,-848.670561875946,3430,5000
"295","Random forest",0.710191082802548,0.688782489740082,-854.651709903545,3430,5000
"296","Boosted classification trees (1000 trees)",0.710191082802548,0.651846785225718,-910.761717387078,3430,5000
"297","Uniform",0,0.369834710743802,-1006.44970617304,3430,5000
"298","Marginal",0,0.630165289256198,-958.321470796653,3430,5000
"299","Random",0.507987220447284,0.485537190082645,-1425.64539915377,3430,5000
"300","Logistic",0.741214057507987,0.670798898071625,-1305.65260609303,3430,5000
"301","Decision tree",0.373801916932907,0.682506887052342,-919.282678504485,3430,5000
"302","SVM(gamma=0.02, 0-weight=0.5, C=2.5)",0.722044728434505,0.698347107438017,-852.051947188717,3430,5000
"303","Random forest",0.73482428115016,0.689393939393939,-867.523280314947,3430,5000
"304","Boosted classification trees (1000 trees)",0.715654952076677,0.662534435261708,-903.777377872188,3430,5000
